building_type_id,building_type_general,description,name,is_residential,is_non_residential,is_other
0,Other,other/unknown,O,FALSE,FALSE,TRUE
1,Residential,single-family residential,HS,TRUE,FALSE,FALSE
2,Residential,town-home residential,HT,TRUE,FALSE,FALSE
3,Residential,multi-family residential,HM,TRUE,FALSE,FALSE
4,Office,office,OF,FALSE,TRUE,FALSE
5,Hotel,hotel,HO,FALSE,TRUE,FALSE
6,School,school,SC,FALSE,TRUE,FALSE
7,Industrial,light industrial,IL,FALSE,TRUE,FALSE
8,Industrial,warehouse,IW,FALSE,TRUE,FALSE
9,Industrial,heavy industrial,IH,FALSE,TRUE,FALSE
10,Retail,retail type 3,RS,FALSE,TRUE,FALSE
11,Retail,retail type 2,RB,FALSE,TRUE,FALSE
12,Residential,mixed-use with residential emphasis,MR,TRUE,TRUE,FALSE
13,Retail,retail type 1,MT,FALSE,TRUE,FALSE
14,Office,mixed-use with office emphasis,ME,TRUE,TRUE,FALSE
15,Parking,parking type 1,PA,FALSE,FALSE,TRUE
16,Parking,parking type 2,PA2,FALSE,FALSE,TRUE
